,Unnamed: 0,state,county,windmills_count,longitude,latitude,zipcode,pop_density,med_household_income,ZipCode,StateName,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08
12,12,MA,Plymouth County,1,-70.644302,41.925491,2360,589,76565,2360,Massachusetts,340200.0,304500.0,315500.0,289000.0,311400.0,303400.0,296900.0,271100.0,252600.0,254500.0,255200.0,252400.0,253800.0,252400.0,263100.0,261300.0,268300.0,274500.0,278400.0,278900.0,277700.0,287200.0,282000.0,275400.0,260500.0,264200.0,271200.0,283900.0,291700.0,291500.0,272400.0,259900.0,264200.0,271600.0,279700.0,258800.0,246600.0,233300.0,252200.0,263300.0,283000.0,281700.0,278700.0,267400.0,257600.0,265100.0,242500.0,237900.0,235100.0,257500.0,272400.0,285100.0,278200.0,279600.0,264800.0,270300.0,259900.0,256000.0,244200.0,254400.0,264000.0,272300.0,264400.0,262400.0,268800.0,283100.0,291200.0,289600.0,289700.0,278500.0,283700.0,278500.0,297600.0,301300.0,317000.0,306900.0,304800.0,291000.0,296500.0,303500.0,305500.0,305000.0,319100.0,321500.0,308900.0,289700.0,285900.0,297100.0,302800.0,309800.0,301500.0,292400.0,299000.0,314900.0,326100.0,322400.0,318200.0,319900.0,317600,321100,317000,318700,313900,325500,322300,324300,318900,304500,302000,301000,332600,334200,334800,318900,321100,317900,328900,335500,346400,325900,335900.0,329800.0,358900.0,346600.0,357300.0,
13,13,MA,Bristol County,2,-70.873398,41.639091,2719,1287,60326,2719,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218200.0,238200.0,213400.0,204700.0,205300.0,220900.0,218100.0,208600.0,200400.0,208200.0,211300.0,230400.0,239000.0,227000.0,227800.0,219500.0,225600.0,209400.0,218300.0,224300.0,236700.0,238500.0,231400.0,208700.0,201500.0,197400.0,203200.0,215800.0,211600.0,220600.0,217400.0,223800.0,219000.0,217600.0,226600.0,241700.0,229300.0,221400.0,210600.0,217300.0,223000.0,223300,223000,232600,236400,235200,223000,216200,231000,253600,272800,277000,268800,260900,257900,243700,249400,240200,245300,248500,254500,277200,283800,287500.0,277400.0,264300.0,276900.0,271500.0,
15,15,MA,Bristol County,1,-71.116997,41.74609,2726,2811,74141,2726,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235000.0,234800.0,241600.0,250800.0,244200.0,250400.0,232600.0,220200.0,203600.0,204000.0,214500.0,229200.0,244900.0,240300.0,226500.0,223100.0,222700.0,239800.0,239100.0,242800.0,243200.0,215300.0,208100.0,203500.0,236100,255200,262300,269400,263600,261200,266300,272600,263400,261000,259400,268000,261500,254300,260600,266300,266000,272900,271700,293600,272100,257100,240300.0,257800.0,273100.0,289900.0,291300.0,
16,16,MA,Bristol County,1,-71.010597,41.62669,2740,7579,34259,2740,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126200.0,129700.0,128400.0,125200.0,148200.0,162400.0,165200.0,146600.0,144700.0,159100.0,157100.0,154400.0,143400.0,154400.0,145900.0,151400.0,146700.0,151300.0,145000.0,142000.0,147500.0,142400.0,146700.0,150900.0,163000.0,155000.0,157400.0,159700.0,162700.0,171300.0,153600.0,167800.0,162900.0,168500.0,160800.0,162400.0,168900.0,169000.0,160300.0,151200.0,158100.0,157000.0,176000.0,176600,178700,188600,197600,195900,181700,181700,201600,210000,194900,184300,190400,197400,196100,181100,182700,183200,192300,182800,189900,183500,196000,189000.0,193900.0,198100.0,194900.0,195300.0,
17,17,RI,Washington County,1,-71.4869,41.581593,2852,730,77049,2852,Rhode Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287100.0,296300.0,287400.0,286400.0,306500.0,318200.0,307200.0,264400.0,234500.0,238900.0,277700.0,309900,303400,299700,301200,307700,302600,305700,318100,303300,305300,294600,310100,310100,311300,317200,311300,306700,312400,337400,345100,325700,307000,326500.0,343100.0,367000.0,342200.0,335100.0,
18,18,RI,Newport County,1,-71.25131999999999,41.614353,2871,1009,74494,2871,Rhode Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294800.0,284700.0,299000.0,300600.0,320100.0,310800.0,324600.0,316300.0,329000.0,369500.0,347900.0,357700.0,326400.0,387800.0,365600.0,356700.0,307700.0,321600.0,323300.0,363100.0,340100.0,346700.0,316700.0,316700.0,330700.0,325200.0,358000,345100,353200,362300,362700,341100,333400,399300,384300,376700,294300,333700,337400,353000,351700,359500,393600,359700,354200,398400,395100,402400,326400.0,398700.0,384000.0,376100.0,344800.0,
19,19,RI,Newport County,1,-71.254944,41.566421999999996,2871,1009,74494,2871,Rhode Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294800.0,284700.0,299000.0,300600.0,320100.0,310800.0,324600.0,316300.0,329000.0,369500.0,347900.0,357700.0,326400.0,387800.0,365600.0,356700.0,307700.0,321600.0,323300.0,363100.0,340100.0,346700.0,316700.0,316700.0,330700.0,325200.0,358000,345100,353200,362300,362700,341100,333400,399300,384300,376700,294300,333700,337400,353000,351700,359500,393600,359700,354200,398400,395100,402400,326400.0,398700.0,384000.0,376100.0,344800.0,
20,20,RI,Newport County,1,-71.2687,41.599090999999994,2871,1009,74494,2871,Rhode Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294800.0,284700.0,299000.0,300600.0,320100.0,310800.0,324600.0,316300.0,329000.0,369500.0,347900.0,357700.0,326400.0,387800.0,365600.0,356700.0,307700.0,321600.0,323300.0,363100.0,340100.0,346700.0,316700.0,316700.0,330700.0,325200.0,358000,345100,353200,362300,362700,341100,333400,399300,384300,376700,294300,333700,337400,353000,351700,359500,393600,359700,354200,398400,395100,402400,326400.0,398700.0,384000.0,376100.0,344800.0,
21,21,RI,Newport County,1,-71.1539,41.620490999999994,2878,543,73085,2878,Rhode Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247700.0,240600.0,229300.0,230600.0,236200.0,260200.0,258200.0,246700.0,240000.0,254600.0,276900.0,301800.0,277700,258400,246800,250000,255300,236400,251800,243800,240500,242900,245200,259600,279400,292600,290100,285800,307000,299700,301300,312800,336100,310600,,,,,,
24,24,OH,Franklin County,1,-83.082306,40.110752000000005,43235,2854,64666,43235,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198100.0,203400.0,196900.0,205600.0,197900.0,221000.0,215300.0,231500.0,208500.0,208800.0,207000.0,215100,219800,218500,217900,212500,215300,214800,208100,203600,203900,213500,218700,213500,223500,225600,234900,223400,233900,223700,228700,229700,239900,240500.0,226600.0,234100.0,228800.0,239400.0,240200.0
