,wf_zipcode,state,county,latitude,longitude,windmills_count,pop_density,med_household_income,zipcode_withno_wf,distance_from_wfzipcode,Unnamed: 0,ZipCode,StateName,2009-01,2010-01,2011-01,2012-01,2013-01,2014-01,2015-01,2016-01,2017-01,2018-01,percent_2010_change,percent_2011_change,percent_2012_change,percent_2013_change,percent_2014_change,percent_2015_change,percent_2016_change,percent_2017_change,percent_2018_change
24,55347,MN,Scott County,44.799507,-93.499779,1,1787,116682,0,0,2075,55347,Minnesota,362100,362100,362100,362100,362100,362100,339600,304700,322800,321100,0,0,0,0,0,-0.062137531,-0.102767962,0.059402691,-0.005266419
25,55369,MN,Hennepin County,45.09507,-93.435242,1,1357,78965,0,0,1174,55369,Minnesota,207800,207800,207800,207800,207800,207800,193200,224700,220100,247100,0,0,0,0,0,-0.070259865,0.163043478,-0.02047174,0.122671513
26,55379,MN,Scott County,44.736092,-93.482994,1,686,79592,0,0,965,55379,Minnesota,198700,198700,198700,198700,179900,196900,230400,205600,234100,230400,0,0,0,-0.094614997,0.094496943,0.170137125,-0.107638889,0.138618677,-0.015805211
27,91739,CA,San Bernardino County,34.084896,-117.52639,1,1184,103203,0,0,1858,91739,California,419400,415600,415800,364400,416300,515800,491200,550000,624700,642000,-0.009060563,0.000481232,-0.123617124,0.142425906,0.239010329,-0.047692904,0.11970684,0.135818182,0.027693293
28,92220,CA,Riverside County,33.917194,-116.815086,2,255,39291,0,0,1750,92220,California,115600,115600,118700,118000,146600,160400,178600,207900,225900,249300,0,0.026816609,-0.00589722,0.242372881,0.094133697,0.113466334,0.164053751,0.086580087,0.103585657
29,92234,CA,Riverside County,33.881794,-116.460991,8,3251,44440,0,0,487,92234,California,176200,159300,162600,136800,167000,213700,231700,252900,251000,276200,-0.095913734,0.020715631,-0.158671587,0.220760234,0.279640719,0.084230229,0.091497626,-0.007512851,0.100398406
30,92240,CA,Riverside County,33.919495,-116.573288,33,949,33682,0,0,1436,92240,California,118300,118300,118300,118300,118300,130100,147600,157100,181700,205100,0,0,0,0,0.099746407,0.134511914,0.064363144,0.15658816,0.128783709
31,92262,CA,Riverside County,33.889694,-116.57679,145,714,46515,0,0,1226,92262,California,209100,209100,209100,209100,258900,307800,320000,362100,361100,368600,0,0,0,0.238163558,0.188876014,0.039636127,0.1315625,-0.002761668,0.02076987
32,92307,CA,San Bernardino County,34.623196,-117.112785,2,222,56477,0,0,1204,92307,California,137200,131300,125900,123000,142200,167700,189500,202600,224400,260900,-0.043002915,-0.04112719,-0.023034154,0.156097561,0.179324895,0.129994037,0.069129288,0.107601185,0.162655971
33,92311,CA,San Bernardino County,34.862396,-116.959785,1,128,46279,0,0,1965,92311,California,53900,53900,53900,53500,49700,79100,66700,89300,102500,126500,0,0,-0.00742115,-0.071028037,0.591549296,-0.15676359,0.338830585,0.147816349,0.234146341
34,92394,CA,San Bernardino County,34.561996,-117.30719,2,1218,53993,0,0,2574,92394,California,108200,110900,114600,110700,125200,157600,176100,195400,211500,238300,0.024953789,0.03336339,-0.034031414,0.130984643,0.258785942,0.117385787,0.10959682,0.082395087,0.126713948
35,92395,CA,San Bernardino County,34.557693,-117.358292,1,2479,38084,0,0,1100,92395,California,101600,111300,102100,103200,125300,153600,167700,199600,206700,234000,0.095472441,-0.082659479,0.010773751,0.214147287,0.225857941,0.091796875,0.190220632,0.035571142,0.132075472
